,id,Цитата,Автор
258,258,"Народ — не только сила, создающая все материаль­ные ценности, он — единственный и неиссякаемый источник ценностей духовных, первый по времени, кра­соте и гениальности творчества философ и поэт, созда­ющий все великие поэмы, все трагедии земли и вели­чайшую из них — историю всемирной культуры.",М. Горький
259,259,"Политическая сила и значение народа выражаются постоянно в силе правительства, ослабление которого неминуемо ведет государство к упадку.",Т. Н. Грановский
260,260,Республика — это утвердившаяся революция.,В. Гюго
261,261,"С нации нельзя спороть метку, как с носового платка.",В. Гюго
262,262,"Величие народа не измеряется его численностью, как величие человека не измеряется его ростом; един­ственной мерой служит его умственное развитие и его нравственный уровень.",В. Гюго
263,263,"Бывают бандитские правительства, но не может быть бандитского народа.",В. Гюго
264,264,При монархии правосудие исходит от короля. При республике оно должно исходить от народа.,В. Гюго
265,265,"Короли уходят, а народы остаются.",И. Гюго
266,266,"Нет иного подлинного государя и не может быть иного подлинного законодателя, кроме народа.",Д. Дидро
267,267,"Мерило народа не то, каков он есть, а то, что считает прекрасным и истинным, по чем воздыхает.",Ф. М. Достоевский
268,268,Общественное умолчание есть скрытая форма анар­хии.,Е. Евтушенко
269,269,"Нация, которая может и должна быть спасена одним- единственным человеком, не заслуживает пощады.",И. Зейме
270,270,"Счастлив Тот народ, у которого исписаны еще не все страницы в книге его истории.",Т. Карлейль
271,271,Всякая подлинно историческая нация призвана осу­ществить определенную цель.,В. Кузен
272,272,"Народ — средоточие мира, сердце человеческого рода.",Ж. Лакордер
273,273,"В трудных обстоятельствах народ может спасти ге­роизм, но только совокупность маленьких повседневных добродетелей определяет его величие.",Г. Лебон
274,274,"Государство сильно сознательностью масс. Оно силь­но тогда, когда массы все знают, обо всем могут судить и идут на все сознательно.",В. И. Ленин
275,275,Мы должны всегда и безусловно стремиться к само­му тесному соединению пролетариата всех национальностей.,В. И. Ленин
276,276,"Кто полностью не разделяет с народом его горя, не­пременно будет чувствовать себя отверженным и на празднике его радости.",Л. М. Леонов
277,277,"Ненавидя все, что пагубно для народа, люди тем са­мым выражают свою любовь к народу.",К. Либкнехт
278,278,"Можно дурачить часть народа все время; можно ду­рачить весь народ некоторое время, но нельзя дурачить все время весь народ.",А. Линкольн
279,279,"Человечество — цель, нация — средство. Без нее вы, как праздные созерцатели, можете обожать человечество, но не сможете стать частью его, как бы ни пытались.",Д. Мадзини
280,280,"Ничто так не портит народ, как привычка к нена­висти.",Д. Мадзини
281,281,"Обещания забывают правители, народ никогда их не забывает.",Д. Мадзини
282,282,"Народ, порабощающий другой народ, куст свои соб­ственные цени.",К. Маркс
283,283,"Нации, как и женщине, не прощается минута оплошности, когда первый встречный авантюрист может совершить над ней насилие.",К. Маркс
284,284,"Страна, которая, подобно древним Афинам, смотрит на прихлебателей, паразитов, льстецов как на исключения, противоречащие народному разуму, как на юрод­ство, такая страна есть страна независимости и само­стоятельности.",К. Маркс
285,285,Всякая нация может и должна учиться у других.,К. Маркс
286,286,Достоинство государства зависит в конечном счете от достоинства образующих его личностей.,Д. Милль
287,287,"Ошибается тот, кто думает, будто революционный народ легко победить: напротив, именно он и способен одерживать победы.",Ш. Монтескье
288,288,"Ничто так не опасно для любой страны, как равно­душие народа.",В. Распутин
289,289,"Нередко величайшими представителями нации явля­ются именно те, кого она осуждает на смерть.",Э. Ренан
290,290,"Нация но нуждается в жестокости, чтобы быть стой­кой.",Ф. Рузвельт
291,291,"Подкупить народ нельзя, но иногда удается его об­мануть.",Ж.-Ж. Руссо
292,292,Лишь сильное государство обеспечивает свободу своим гражданам.,Ж.-Ж. Руссо
293,293,Нация не может позволить себе подлости.,Самнер
294,294,"Истинное Величие наций слагается из тех же качеств, которые составляют подлинное величие отдельных лю­дей.",Ч. Самнер
295,295,Глас народа священен.,Сенека Старший
296,296,"Нации, так же как индивиды, могут жить двояко: либо воруя, либо производя.",А. Сен-Симон
297,297,Не государство — где владыкою один.,Софокл
298,298,"Нация только в том случае обладает характером, если она свободна.",А. Сталь
299,299,"Первое гражданское чувство — чувство создателя материальных благ, без которых невозможна жизнь человека.",В. А. Сухомлинский
300,300,Национальный энтузиазм — великая колыбель ге­ния.,Г. Такермэн
301,301,Нельзя безнаказанно управлять государством без народа и против воли народа.,М. Торез
302,302,Могущество и престиж страны зависят в первую очередь от таланта и способности ее народа.,Маргарет Тэтчер
303,303,"Нации всегда черпали свою силу в народе: при совре­менных демократиях, основанных на науке, эта сила народа может увеличиться в десятки, сотни раз.",А. Франс
304,304,"Для граждан гораздо полезнее, когда процветает все государство в целом, а не когда отдельные люди пре­успевают, целое же разрушается.",Фукидид
305,305,"Отдельные личности могут морально разложиться, народ — никогда.",Ю. Фучик
306,306,"Народ может не видеть, но он всегда чувствует.",Д. Харрингтон
307,307,"Первая панацея для плохо управляемой страны — валютная инфляция, вторая — война; обе приносят временное процветание, обе приносят окончательную ги­бель.",Э. Хемингуэй
308,308,Любой великий подвиг одного народа совершается для всех пародов.,С. Цвейг
309,309,Благо народа — высший закон.,Цицерон
310,310,"На долю народа не может выпасть большего бедствин, чем процветание ценой злодеяния.",У. Чэннинг
311,311,Самый распространенный вид гордости — нацио­нальная гордость.,Л. Шопенгауэр
312,312,"Лучше черствый хлеб у себя дома, чем множество блюд за чужим столом.",П. Аретино
313,313,"Любовь к отечеству должна выходить из любви к человечеству, как частное из общего.",В. Г. Белинский
314,314,Любить свою Родину — значит пламенно желать ви­деть в ней осуществление идеала человечества и по мере сил своих споспешествовать этому.,В. Г. Белинский
315,315,"Всякая благородная личность глубоко сознает свое кровное родство, свои кровные связи с отечеством.",И. Г. Белинский
316,316,Отчизны голос — голос лучшей музы.,П. Беранже
317,317,Любовь к родине не признает половинчатости; кто не делает для нее всего — ничего не делает; кто не все отдает ей — тот во всем ей отказывает.,Л. Берне
318,318,"Родина… Мы ей обязаны нашими силами, и вдохно­вением, и радостями.",Л. Блок
319,319,"Отчизна — это край, где пленница душа.",Ф. Вольтер
320,320,Истинное мужество просвещенных народов состоит в готовности к самопожертвованию во имя родины.,Г. Гегель
321,321,Любовь к отечеству совместима с любовью ко всему миру.,К. Гельвеций
322,322,Чужбина родиной не станет.,И. Гёте
323,323,На родине у тебя и прошлое и будущее. В чужом краю — одно лишь настоящее.,Л. Гиршфельд
324,324,Радостно и почетно умереть за отечество.,Гораций
325,325,"Настоящий патриотизм не тот, который суетится и чванится в торжественные минуты, а тот, который ежедневно и неутомимо заботится об общем благе и не ба­хвалится этим.",Л. Граф
326,326,Отечества и дым нам сладок и приятен.,Л. С. Грибоедов
327,327,"Рану, нанесенную Родине, каждый из нас ощущает в глубине своего сердца.",В. Гюго
328,328,"Чтобы быть интернационалистом, нужно сперва иметь родину.",Ж. Дюамель
329,329,"Патриотизм не должен ослеплять нас; любовь к оте­честву есть действие ясного рассудка, а не слепая страсть.",Н. М. Карамзин
330,330,Нет у человека ничего прекраснее и дороже родины. Человек без родины — нищий человек.,Якуб Колас
331,331,"Человек без родины — это песчинка, отданная на произвол случайностям времени и пространства.",Ж. Лакордер
332,332,"Патриотизм — одно из наиболее глубоких чувств, за­крепленных веками и тысячелетиями обособленных оте­честв.",В. И. Ленин
333,333,Сила патриотизма всегда пропорциональна количе­ству вложенного личного труда: бродягам и тунеядцам всегда бывало чуждо чувство родины!,Л. М. Леонов
334,334,"Тот, кто всюду живет, нигде не живет.",Марциал
335,335,"Лучшее средство привить детям любовь к отечеству состоит в том, чтобы эта любовь была у отцов.",III. Монтескье
336,336,Любовь к родине — первое достоинство цивилизо­ванного человека.,Наполеон
337,337,"Патриот тот, кто в самые трудные минуты дли роди­ны берется за самые трудные дела.",А. Павленко
338,338,"Нет! Человеку нельзя жить без родины, как нельзя жить без сердца.",К. Г. Паустовский
339,339,"Чем легче и вольнее живется на свете какому-ни­будь народу, тем сильнее любит он свою Родину и свои учреждения.",Д- И. Писарев
340,340,Истинный человек и сын отечества есть одно и то же.,А. Н. Радищев
341,341,Самые большие подвиги добродетели были соверше­ны из любви к отечеству.,Ж.-Ж. Руссо
342,342,"Ногами человек должен врасти в землю своей роди­ны, но глаза его пусть обозревают весь мир.",Д. Сантаяна
343,343,"Родину любят не за то, что она велика, а за то, что она своя.",Сенека Младший
344,344,"Любовь к Отчизне и любовь к людям — это два быстрых потока, которые, сливаясь, образуют могучую реку патриотизма.",В. А. Сухомлинский
345,345,Патриотизм — это но значит только одна любовь к своей Родине. Это гораздо больше. Это — сознание своей неотъемлемости от Родины и неотъемлемое пережи­вание вместе с ней ее счастливых и ее несчастных дней.,А. Н. Толстой
346,346,"Россия без каждого из нас обойтись может, по никто из нас без нее не может обойтись.",И. С. Тургенев
347,347,Без подлинной любви к человечеству нет подлинной любви к родине.,А. Франс
348,348,"Только на чужбине познаешь всю прелесть родного языка, только там чувствуешь, что такое родина.",Г. Фрейтаг
349,349,"Только одно отечество заключает в себе то, что доро­го всем.",Цицерон
350,350,"Высочайший патриотизм — страстное, беспредель­ное желание блага Родине.",Г. Чернышевский
351,351,"Историческое значение каждого русского великого человека измеряется его заслугами Родине, его человеческое достоинство — силою его патриотизма.",II. Г. Чернышевский
352,352,"Где прошло детство, там и начинается Родина.",Кузьма Чорный
353,353,"Это святая обязанность — любить страну, которая вспоила и вскормила нас, как родная мать.",М. А. Шолохов
354,354,"Не на то надо смотреть, где человек родился, а каковы его нравы, не в какой земле, а по каким принципам решил он прожить свою жизнь.",Апулей
355,355,"Идея, которая не может быть претворена в жизнь, подобна мыльному пузырю.",Б. Ауэрбах
356,356,Идеи могут быть обезврежены только идеями.,О. Бальзак
357,357,"Обстоятельства переменчивы, принципы никогда.",О. Бальзак
358,358,"Проповедь самых высоких идеалов не служит ниче­му, если не видит положительного пути к их достижению.",А. Барбюс
359,359,"Убеждение должно быть дорого потому только, что оно истинно, а совсем не потому, что оно наше.",В. Г. Белинский
360,360,"Тот не добросовестен, кто не дорожит своими мнени­ями как человек.",В. Г. Белинский
361,361,"Все высокие побуждения, идеи, замыслы и чувства человека не стоят и ломаного гроша, если они не укрепляют его для лучшего выполнения долга в будничной жизни.",Г. Бичер
362,362,"Чувства рождают идеи, и, наоборот, идеи питают чувства.",Ю. Бондарев
363,363,У серьезного человека немного идей. Человек с мно­жеством идей никогда не бывает серьезным.,П. Валери
364,364,"Сознание царствует, но не управляет.",Валери
365,365,"Ценность идеала в том, что он удаляется по мере того, как мы приближаемся к нему.",М. Ганди
366,366,Идеалом является всякая действительность в своей наивысшей истине.,Г. Гегель
367,367,"Каждое из наших самых прочных убеждений может быть опрокинуто или, во всяком случае, изменено дальнейшими успехами знания.",Т. Гексли
368,368,"Глубокие идеи похожи на те чистые воды, прозрач­ность которых затемнена их же глубиной.",К. Гельвеций
369,369,"Если не высказаны противоположные мнения, то не из чего выбирать наилучшее.",Геродот
370,370,"Убеждение — это не начало, а венец всякого позна­ния.",И. Гёте
371,371,"С тем, кто отрицает идеал, может легко случиться, что он пошлое примет за прекрасное.",И. Гёте
372,372,"Тот, кто боится идеи, теряет под конец и понятие.",И. Гёте
373,373,"Всякий, кто удаляется от идеи, в конце концов оста­ется при одних ощущениях.",И. Гёте
374,374,"Когда природа лишила человека его способности ходить на четвереньках, она дала ему в виде посоха — идеал! И с той поры он бессознательно стремится к лучшему — все выше!",М. Горький
375,375,Любовь к идеалу — чувство деятельное и страстно склонное к жертве.,М. Горький
376,376,"Жизнь идет к совершенству, руководствуясь иде­алом — тем, что не существует, но мыслится, воображается возможным к осуществлению.",М. Горький
377,377,Каждый должен обладать мужеством отстаивать свои убеждения.,А. Гумбольдт
378,378,"Идеи — единственное, что никогда не умирает.",В. Гумбольдт
379,379,"Можно сопротивляться вторжению армий, вторже­нию идей сопротивляться невозможно.",В. Гюго
380,380,"Наша жизнь — путешествие, идея — путеводитель. Нет путеводителя, и все останавливается. Цель утраче­на, и сил как не бывало.",В. Гюго
381,381,"Можно сломать шпагу, нельзя истребить идею.",В. Гюго
382,382,"Самый смелый человек становится трусом, когда у него нет установившихся взглядов.",Э. Делакруа
383,383,"Тот, у кого есть идея и кто жив, не может быть бес­полезным, разве только если сам отречется от своей идеи.",Э. Дзержинский
384,384,"Нельзя жить без идеала. Надо иметь здоровый идеал, идеал, исходящий из глубин, из недр нашего собственного народа.",Г. Димитров
385,385,"Если ты отвергаешь в людях возможность искрен­него, глубокого, бескорыстного убеждения, то я вполне основательно могу вывести, что тебе самому незнакомы никакие убеждения.",П. А. Добролюбов
386,386,"Человека, меняющего свои воззрения из угождения первому встречному, мы признаем дрянным, подлым, не имеющим никаких убеждений.",П. А. Добролюбов
387,387,"Без идеалов, то есть без определенных хоть сколько-нибудь желаний лучшего, никогда не может получиться никакой хорошей действительности.",Ф. М. Достоевский
388,388,"Основная идея всегда должна быть недосягаемо выше, чем возможность ее исполнения.",Ф. М. Достоевский
389,389,"Лучшие душевные движения не значат ничего, если не приводят к добрым действиям.",Ж. Жубер
390,390,"Идейная, насыщенная общественными интересами, целеустремленная жизнь есть самая лучшая, самая интересная жизнь на земле.",М. И. Калинин
391,391,"Коммунистические принципы, если взять их в прос­том виде,— это принципы высокообразованного, честно­го, передового человека, это — любовь к социалистиче­ской Родине, дружба, товарищество, гуманность, честность, любовь к социалистическому труду.",М. И. Калинин
392,392,Умереть во имя идеи — это единственный способ быть на высоте идеи.,А. Камю
393,393,Великая идея в дурной среде извращается в ряд неле­постей.,В. О. Ключевский
394,394,Идея есть познание и стремление (хотение) чело­века.,В. И. Ленин
395,395,"Человеку нужен идеал, но человеческий, соответст­вующий природе, а не сверхъестественный.",В. И. Ленин
396,396,"Идеи становятся силой, когда они овладевают мас­сами.",В. И. Ленин
397,397,"История идей есть история смены и, следовательно, борьбы идей.",В. И. Ленин
398,398,"Нельзя уподобляться бездумному флюгеру, который поворачивается при малейшем ветерке.",Джек Лондон
399,399,Только глупцы и покойники никогда не меняют своих мнений.,Д. Лоуэлл
400,400,"Не сознание людей определяет их бытие, а, наоборот, их общественное бытие определяет их сознание.",К. Маркс
401,401,"Цель, для которой требуются неправые средства, не есть правая цель.",К. Маркс
402,402,"Идеи, которые овладевают нашей мыслью, подчи­няют себе наши убеждения и к которым разум приковывает нашу совесть, — это узы, из которых нельзя вы­рваться, не разорвав своего сердца, это демоны, которых человек может победить, лишь подчинившись им.",К. Маркс
403,403,"Оружие критики не может, конечно, заменить кри­тики оружием, материальная сила должна быть опрокинута материальной же силой; но и теория становится материальной силой, как только она овладевает мас­сами.","К. Маркс, Ф. Энгельс"
404,404,"Идеи вообще ничего не могут осуществить. Для осуществления идей требуются люди, которые должны употребить практическую силу.","К. Маркс, Ф. Энгельс"
405,405,"Убеждение, которое сразу же допускает законность противоположного мнения, осуждает себя на бесплодие.",Р. Мартен дю Гар
406,406,"Когда какое-либо мнение является всеобщим, оно обычно правильно.",Д. Остин
407,407,"Армия принципов прорвется там, где но пройдет армия солдат.",Т. Пеан
408,408,"Когда у человека есть действительно какие-нибудь убеждения, тогда ни страдание, ни уважение ни дружба, ни любовь — ничто, кроме осязательных доказательств, не может поколебать или изменить в этих убеждениях ни одной мельчайшей подробности.",Д. И. Писарев
409,409,"Готовых убеждений нельзя ни выпросить у добрых знакомых, ни купить в книжной лавке. Их надо выработать процессом собственного мышления, которое не­пременно должно совершаться самостоятельно в нашей собственной голове.",Д. И. Писарев
410,410,"Человек без убеждений — пустельга, без принци­пов — он ничтожная никчемность.",И. К. Репин
411,411,Нужно иметь смелость высказывать свои убеждения.,И. М. Сеченов
412,412,"Велико искусство прививать людям прекрасные идеи, которые учат жертвовать всем для счастья рода людского.",Стендаль
413,413,Убеждения по самой своей природе не могут быть бездеятельным духовным богатством.,П. А. Сухомлинский
414,414,"Идеал — это путеводная звезда. Без псе нет направ­ления, а нет направления — нет жизни.",Л. П. Толстой
415,415,"Как скоро идеал, более высокий, чем прежний, по­ставлен перед человечеством, все прежние идеи меркнут, как звезды перед солнцем, и человек не может не при­знать высшего идеала, как не может не видеть солнца.",Л. П. Толстой.
416,416,"Как ни странно, самые твердые, непоколебимые убеждения — самые поверхностные. Глубокие убежде­ния всегда подвижны.",Л. П. Толстой
417,417,"Всякий, кто гибнет за идею, гибнет не напрасно.",П. Тольятти
418,418,"Жалок тот, кто живет без идеала!",И. С. Тургенев
419,419,Сознание есть отличительный признак совершенного существа.,Л. Фейербах
420,420,"Великие идеи приходят, когда мир нуждается в них.",О. Фелпс
421,421,Восстанию с оружием в руках всегда предшествует восстание идей.,У. Филлипс
422,422,"Кто боится нападок на свои убеждения, тот сам со­мневается в них.",У. Филлипс
423,423,"Стройные и сознательные убеждения развиваются в человеке не иначе, как под влиянием общества или при помощи литературы.",П. Г. Чернышевский
424,424,"Живой человек не может не иметь сильных убежде­ний. Но проводить убеждений могут только те, которые не имеют их: а не иметь убеждений могут только люди тупые или люди бессовестные.",Н. Г. Чернышевский
425,425,"Деятельность человека пуста и ничтожна, когда не одушевлена идеею.",Чернышевский
426,426,"Одной честности мало для того, чтобы быть правым и полезным; нужна также последовательность в идеях.",Н. Г. Чернышевский
427,427,Мысли лучших умов всегда становятся в конечном счете мнением общества.,Ф. Честерфилд
428,428,Убеждение — это совесть разума.,Н. Шамфор
429,429,Достойные мысли закаляют сердце мужа и не стра­шатся дневного света.,Ф. Шиллер
430,430,Убежденному убеждать других не трудно.,Ф. Шиллер
431,431,"Горе мне, если мои убеждения будут колебаться в зависимости от биения моего сердца.",Ф. Шиллер
432,432,"Суждение можно опровергнуть, предубеждение — никогда.",М. Эбнер-Эигенбах
433,433,"Убеждение — необходимое основание деятельности; если теория неправильна, практика не может быть верной.",Эдвардей
434,434,"Все идеи извлечены из опыта, они — отражения действительности, верные или искаженные.",Ф. Энгельс
435,435,"Не природа, не человечество сообразуются с принци­пами, а, наоборот, принципы верны лишь постольку, поскольку они соответствуют природе и истории.",Ф. Энгельс
436,436,"Идеи воспламеняют друг друга, подобно электриче­ским искрам.",Ф- Энгельс
437,437,"Свободны могут быть или все, или никто, включая и тех, кто управляет, кто устанавливает данный порядок.",Ч. Айтматов
438,438,"Достаточно считать себя рабом, чтобы быть им.",Ален
439,439,Равенство — это великая формула людей.,А. Барбюс
440,440,"Не может быть оправдано никакое равенство, кроме того, которое создано природой в виде различия между отдельными людьми.",А. Бебель
441,441,"Свобода и здоровье имеют одно общее: по-настояще­му ценишь их только тогда, когда их не хватает.",А. Бек
442,442,"Нет человека, который не любил бы свободу; но справедливый требует ее для всех, несправедливый — только для себя.",Л. Берне
443,443,Желать свободы себе — значит желать свободы другим.,С. Бовуар
444,444,"Свобода, которая служит лишь для устранения сво­боды, должна быть устранена.",С. Бовуар
445,445,"Есть много видов свободы. Есть свобода Гения, и есть крайне узкая свобода повес.",Ш. Бодлер
446,446,"Лишь тот равен другому, кто это доказывает, и лишь тот достоин свободы, кто умеет завоевывать ее.",Ш. Бодлер
447,447,"Свобода — это высшее нравственное состояние чело­века, когда ограничения необходимы как проявления этой же нравственности, т. е. разумного самоуважения и уважения ближнего.",Ю. Бондарев
448,448,Человек свободный не стремится властвовать; сво­бода в равной мере противоположна рабству и господству.,Ц Бонтемпелли
449,449,"Общественная свобода есть не что иное, как пункту­альное соблюдение общественных законов, справедливых и равных для всех.",Ц. Ботта
450,450,"Стремление человека к свободе — как пар, заключен­ный в котле: оно так же может стать опасным, когда его слишком зажимают, как и благотворным, если ему дают верное направление в хорошо слаженной машине.",В. Нейтлинг
451,451,"Когда я могу сделать то, что хочу, это значит, что я свободен; но то, что я хочу, я хочу в силу необходимости.",Ф. Вольтер
452,452,"Свобода состоит в том, чтобы быть в зависимости только от законов.",ф. Вольтер
453,453,Почему свобода является такой редкостью? Потому что она величайшее из благ.,Ф. Вольтер
454,454,Только свободные умы ощущают тяжесть своих цепей.,Ж. Вольфром
455,455,Свобода есть результат правильного устройства.,П. Гаксот
456,456,"Для того, кто сам не свободен, не свободны и другие.",Г. Гегель
457,457,"Слуги, не имеющие господина, не становятся от этого свободными людьми — лакейство у них в душе.",Г. Гейне
458,458,Свобода человека состоит в свободном пользовании своими способностями.,К. Гельвеций
459,459,"Нельзя людей освобождать к наружной жизни боль­ше, чем они освобождены внутри. Как ни странно, но опыт показывает, что народам легче выносить насиль­ственное бремя рабства, чем дар излишней свободы.",А. И. Герцен
460,460,"Хороню быть в дороге, которую ты сам себе выби­раешь.",Якуб Колас
461,461,"Свобода, как и милосердие, должна начинаться у себя дома.",Д. Конэнт
462,462,Воля — солнышку ровня.,Янка Купала
463,463,"Чем возвышеннее в государстве разумная свобода, тем могущественнее сила закона и исполнение гражданами своего долга, ибо идея свободы всегда соединяется с идеей правды и вызывает вместе с нею обязанность стремиться к общему благу.",М. С. Куторга
464,464,"Люди никогда не пользуются свободою, которая у них есть, но требуют той, которой у них нет: у них есть свобода мысли, они же требуют свободы выражения.",С Кьеркегор
465,465,"Свобода — это не праздность, а возможность свобод­но располагать своим временем и выбирать себе род занятий; короче говоря, быть свободным — значит не предаваться безделью, а самолично решать, что делать и чего не делать.",Ж. Лабрюйер
466,466,"Свобода возможна лишь в той страпе, где право господствует над страстями.",Ж. Лакордер
467,467,"Политическая свобода означает свободу народа рас­поряжаться своими общенародными, государственными делами.",В. И. Ленин
468,468,"Тот, кто борется за свободу народа, не борясь за полновластие народа в государстве, тот либо непоследователен, либо неискренен.",В. И. Ленин
469,469,Свобода — главный дар природы.,Леонардо да Винчи
470,470,"Свобода выше собственности, человек выше доллара.",А. Линкольн
471,471,"Овца и волк по-разному понимают слово «свобода», в этом и суть разногласий, господствующих в человече­ском обществе.",А. Линкольн
472,472,"Свобода — наша мать, и Мир — се ребенок.",Яннис Рицос
473,473,"Кто хочет быть свободным, тот действительно сво­боден.",Ж.-Ж. Руссо
474,474,Истинная свобода дороже золота и серебра.,Д. Савонарола
475,475,"Когда все люди будут свободны, они будут равны; когда они будут равны, они будут справедливы.",Л. Сен-Жюст
476,476,"Нет ничего более приятного для слуха свободы, чем шум и крики народного собрания.",Л. Сен-Жюст
477,477,"Нет стеснения более жестокого, как не сметь сказать то, что думаешь.",Ш. Сент-Эвремон
478,478,"Ясное понимание и строгое соблюдение твоего долга перед людьми — это твоя подлинная свобода. Чем чело­вечнее, осознаннее ты соблюдаешь свой долг перед людьми, тем больше черпаешь ты из неисчерпаемого источника подлинного человеческого счастья — сво­боды.",В. А. Сухомлинский
479,479,"Свобода существует только как ответственность за то, что делаешь. Только делая прыжок в неизвестное, мы ощущаем свою свободу.",Т. Уайлдер
480,480,"Умом прежде всего движет желание неограниченной свободы, а это чувство неизменно сопровождается дру­гим — паническим страхом перед последствиями такой свободы.",Уайлдер
481,481,"Свобода единственная вещь, которую вы не можете получить, если вы не даете ее сами.",У. Уайт
482,482,"Чистая свобода состоит не в независимости, а только в умении не отягощаться случайными зависимостями.",П. А. Федотов
483,483,Человек обязан быть свободным всегда в рамках ответственности.,У- Фолкнер
484,484,"Самый свободный человек тот, кто умеет быть свобод­ным даже в рабстве.",Б. Фонтенель
485,485,Тощая свобода лучше жирного рабства.,Т. Фуллер
